team,date,elo
TPA,3/16/13,1445.633973
TPA,3/22/13,1449.53325
TPA,3/23/13,1453.092868
TPA,3/29/13,1457.171795
TPA,3/31/13,1445.55709
TPA,4/5/13,1450.441089
TPA,4/6/13,1458.518751
TPA,4/12/13,1461.79685
TPA,4/13/13,1467.96701
TPA,4/19/13,1471.118658
TPA,4/21/13,1475.02215
